value,type
zxcjglibl[.]com,domain
worietru[.]com,domain
trifouri[.]com,domain
coibnea[.]com,domain
cpjvffj[.]com,domain
djvanct[.]com,domain
ekfjobz[.]com,domain
fxniccw[.]com,domain
hbzljsl[.]com,domain
hmncbdd[.]com,domain
jklmjga[.]com,domain
lxgsryb[.]com,domain
oqaqtun[.]com,domain
pvtwxmt[.]com,domain
qoneqai[.]com,domain
qoreyai[.]com,domain
rdjsblz[.]com,domain
rhkmaxv[.]com,domain
rnswlif[.]com,domain
sircyuo[.]com,domain
srruvcl[.]com,domain
wwpikmc[.]com,domain
zxpemmd[.]com,domain
jturvvulp[.]com,domain
rnoqsqw[.]com,domain
tcfzmhcxh[.]com,domain
samxqu[.]com,domain
05jef2gw6[.]ru,domain
pmqawqui[.]es,domain
kiymrjg[.]es,domain
mibkenns[.]es,domain
yazvbqkl[.]ru,domain
tfcxzk[.]es,domain
dmuok[.]es,domain
xcsyiuul[.]ru,domain
qdjcpol[.]ru,domain
avptdwh[.]es,domain
rztcydrdc[.]es,domain
qvbyqiwcs[.]com,domain
ceeefhwm[.]ru,domain
zdzhwsdskx[.]es,domain
eqydm[.]es,domain
pseudops0[.]ru,domain
xplagertha[.]com,domain
hfvzaobd[.]es,domain
vyuvfjd[.]ru,domain
jdarlxjvtg[.]es,domain
uronfecit[.]ru,domain
aencpjseng[.]com,domain
areuegilpww[.]com,domain
epfsr[.]com,domain
ftwvja[.]com,domain
gvxcgzinwhu[.]com,domain
hqhmlzxv[.]com,domain
ijktkgl[.]com,domain
ktvpdk[.]com,domain
mjehnss[.]com,domain
npckzdjqgac[.]com,domain
nypuvsohyvzh[.]com,domain
olyidw[.]com,domain
osgokdbpq[.]com,domain
puqzabgojnmu[.]com,domain
sdvfdggplsu[.]com,domain
srmiobpicn[.]com,domain
syxtmvw[.]com,domain
takkrpbqcwc[.]com,domain
ufelc[.]com,domain
xqwvfrfdb[.]com,domain
xuogtfgvryeh[.]com,domain
xyjjslsa[.]com,domain
zooyuuaerwy[.]com,domain
ztmthcmcwy[.]com,domain
hXXps://s1.pseudops0[.]ru/B5uK3_k35ycjbng6kFK45yg/#K,url
hXXps://bxt.dmuok[.]es/n9IzCybq/,url
hXXps://toz.dmuok[.]es/n9IzCybq/,url
hXXps://q8cq.qvbyqiwcs[.]com/2039V3hz/,url
hXXps://xl.hfvzaobd[.]es/fRiSIchampLe/,url
hXXps://sfe.eineopeth[.]com/XtOrIaN/,url
hXXps://4z.samxqu[.]com/bWURGw6/,url
hXXps://cat96.vyuvfjd[.]ru/jekkBzzO/#M,url
hXXps://7j.05jef2gw6[.]ru/Ax263i/,url
hXXps://tg.pmqawqui[.]es/oDaMU9At/,url
hXXps://huxo.zdzhwsdskx.es/POAvxB/#Mporocha@cabdt.com[.]mx,url
hXXps://wf.mibkenns[.]es/caLUrguStoNo/,url
hXXps://c2uah.yazvbqkl.ru/QPImv5ff/#Mindsg_hampton_suites@hilton[.]com,url
hXXps://viu.tfcxzk[.]es/oveldeprumburgyroungereadititrychughtfinet/,url
hXXps://ufw.xcsyiuul.ru/VgRu6z/#Mclaudiacuevas@akzent[.]mx,url
hXXps://2l.eqydm[.]es/QViDx/,url
hXXps://bekr.avptdwh[.]es/JMtTSo/,url
hXXps://0lz.xplagertha.com/cYBB9XV/#Mquotes@trinitysurfaces[.]com,url
hXXps://bqr.qdjcpol[.]ru/WpB8P/$c2FyYS5odW50QGJ5dGVkYW5jZS5jb20=,url
hXXps://3rwc.jdarlxjvtg[.]es/nxDfEfE/,url
hXXps://z7uu.rztcydrdc[.]es/mmWGIkm/,url
hXXps://hk17.kiymrjg.es/hvJVbzKd/$alex@noshitsecurity[.]com,url
hXXps://3758375837583758375837583758375837375837.uronfecit[.]ru/Hlnz62kK/#d2FycmVuLmxpZXdAYnl0ZWRhbmNlLmNvbQ==,url
hXXps://wo4.eineopeth[.]com/XtOrIaN/?utm_source=sniply&utm_campaign=sniply&utm_medium=sniply,url
hXXps://7fff.ceeefhwm[.]ru/osXdKdE/,url
hXXps://y0.laterhen[.]com/cJDYv/,url
hXXps://ru.zotrix5mw[.]com/eVXArZ/,url
hXXps://vpap.yaxlen0vf[.]com/ve4DCC/,url
hXXps://e2xy.xorliq1zn[.]com/5zlZz/,url
hXXps://c3.lomiva3pt[.]com/3XgA6ga/,url
hXXps://500a.lomiva3pt[.]com/3XgA6ga/,url
hXXps://hu.felmoq7rc[.]com/CNbP/,url
hXXps://gtfw.beqrid7vn[.]com/tIOZEq/,url
hXXps://wwnh.wasynabar[.]com/7RJTRj7i/,url
hXXps://cu.wasynabar[.]com/7RJTRj7i/,url
hXXps://kk.wasynabar[.]com/7rjtrj7i/,url
hXXps://nr.wasynabar[.]com/7RJTRj7i/,url
hXXps://ihdu.marnsiant[.]com/8RDTFbNF/,url
hXXps://1ri.marnsiant[.]com/8RDTFbNF/,url
hXXps://xeltr.tioderest[.]com/e9Deyf/,url
hXXps://kup.terwityph[.]com/N7C7a/,url
hXXps://e6e.terwityph[.]com/N7C7a/,url
hXXps://vt.blopunriu[.]com/rGAdO/,url
hXXps://zn.blopunriu[.]com/rGAdO/,url
hXXps://k9aa.ierthydri[.]com/GqQp/,url
hXXps://xelim.ierthydri[.]com/GqQp/,url
hXXps://zum.yelidro[.]com/PgF1Zu/,url
hXXps://rk4.xevinon[.]com/8N8cfpSD/,url
hXXps://xd.vomitre[.]com/ZiWX2/?qrc=ar-cr%40hc-sc.gc.ca,url
hXXps://jr.vomitre[.]com/ZiWX2/,url
hXXps://wafri.brucketha[.]com/3fBbvv/,url
hXXps://ndd3.brucketha[.]com/3fBbvv/,url
hXXps://rh.brucketha[.]com/3fBbvv/,url
hXXps://4qk.brucketha[.]com/3fBbvv/,url
hXXps://of.brucketha[.]com/3fBbvv/,url
hXXps://b6mx.brucketha[.]com/3fBbvv/,url
hXXps://mt2.zoritrex[.]com/pmBv9/,url
hXXps://tr3y.zoritrex[.]com/pmBv9/,url
hXXps://6z8k.zoritrex[.]com/pmBv9/,url
hXXps://i7t.zoritrex[.]com/pmBv9/,url
hXXps://tpsk.xaliren[.]com/zjIhB/,url
hXXps://byj7.xiridon[.]com/JPqQWqc/,url
hXXps://abvn.velidro[.]com/mpL30dxs/,url
hXXps://6x6k.velidro[.]com/mpL30dxs/,url
hXXps://sio.veximor[.]com/AtUl/,url
hXXps://m4b1.ralivon[.]com/BxCxQe/,url
hXXps://z7.ralivon[.]com/BxCxQe/,url
hXXps://ralix.ralivon[.]com/BxCxQe/,url
hXXps://sbp.norixen[.]com/JFWaj/?utm_source=podia&utm_medium=broadcast&utm_campaign=2328138,url
https://2025_tax_compliance_team_x1update_tax_review.nemiron[.]com/kfIL0O/,url
https://usu_employee_benefits.nemiron[.]com/kfIL0O/,url
hXXps://qh8.nemiron[.]com/kfIL0O/,url
hXXps://lorin.kemivor[.]com/KrhrBH/,url
hXXps://yo1v.melitro[.]com/o7qi6Zl/,url
hXXps://melor.melitro[.]com/o7qi6Zl/,url
hXXps://6e.bemidro[.]com/ZBST/,url
hXXps://peril.jerilax[.]com/lgYt/,url
hXXp://orbitexglobal[.]com/,url
s1.pseudops0[.]ru,fqdn
bxt.dmuok[.]es,fqdn
toz.dmuok[.]es,fqdn
q8cq.qvbyqiwcs[.]com,fqdn
xl.hfvzaobd[.]es,fqdn
sfe.eineopeth[.]com,fqdn
4z.samxqu[.]com,fqdn
cat96.vyuvfjd[.]ru,fqdn
7j.05jef2gw6[.]ru,fqdn
tg.pmqawqui[.]es,fqdn
huxo.zdzhwsdskx[.]es,fqdn
wf.mibkenns[.]es,fqdn
c2uah.yazvbqkl[.]ru,fqdn
viu.tfcxzk[.]es,fqdn
ufw.xcsyiuul[.]ru,fqdn
2l.eqydm[.]es,fqdn
bekr.avptdwh[.]es,fqdn
0lz.xplagertha[.]com,fqdn
bqr.qdjcpol[.]ru,fqdn
3rwc.jdarlxjvtg[.]es,fqdn
z7uu.rztcydrdc[.]es,fqdn
hk17.kiymrjg[.]es,fqdn
3758375837583758375837583758375837375837.uronfecit[.]ru,fqdn
wo4.eineopeth[.]com,fqdn
7fff.ceeefhwm[.]ru,fqdn
y0.laterhen[.]com,fqdn
ru.zotrix5mw[.]com,fqdn
vpap.yaxlen0vf[.]com,fqdn
e2xy.xorliq1zn[.]com,fqdn
c3.lomiva3pt[.]com,fqdn
500a.lomiva3pt[.]com,fqdn
hu.felmoq7rc[.]com,fqdn
gtfw.beqrid7vn[.]com,fqdn
wwnh.wasynabar[.]com,fqdn
cu.wasynabar[.]com,fqdn
kk.wasynabar[.]com,fqdn
nr.wasynabar[.]com,fqdn
ihdu.marnsiant[.]com,fqdn
1ri.marnsiant[.]com,fqdn
xeltr.tioderest[.]com,fqdn
kup.terwityph[.]com,fqdn
e6e.terwityph[.]com,fqdn
vt.blopunriu[.]com,fqdn
zn.blopunriu[.]com,fqdn
k9aa.ierthydri[.]com,fqdn
xelim.ierthydri[.]com,fqdn
zum.yelidro[.]com,fqdn
rk4.xevinon[.]com,fqdn
xd.vomitre[.]com,fqdn
jr.vomitre[.]com,fqdn
wafri.brucketha[.]com,fqdn
ndd3.brucketha[.]com,fqdn
rh.brucketha[.]com,fqdn
4qk.brucketha[.]com,fqdn
of.brucketha[.]com,fqdn
b6mx.brucketha[.]com,fqdn
mt2.zoritrex[.]com,fqdn
tr3y.zoritrex[.]com,fqdn
6z8k.zoritrex[.]com,fqdn
i7t.zoritrex[.]com,fqdn
tpsk.xaliren[.]com,fqdn
byj7.xiridon[.]com,fqdn
abvn.velidro[.]com,fqdn
6x6k.velidro[.]com,fqdn
sio.veximor[.]com,fqdn
m4b1.ralivon[.]com,fqdn
z7.ralivon[.]com,fqdn
ralix.ralivon[.]com,fqdn
sbp.norixen[.]com,fqdn
2025_tax_compliance_team_x1update_tax_review.nemiron[.]com,fqdn
usu_employee_benefits.nemiron[.]com,fqdn
qh8.nemiron[.]com,fqdn
lorin.kemivor[.]com,fqdn
yo1v.melitro[.]com,fqdn
melor.melitro[.]com,fqdn
6e.bemidro[.]com,fqdn
peril.jerilax[.]com,fqdn
orbitexglobal[.]com,fqdn
